COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
POC to Cloud,002,003735,70106,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50107,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,60401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40005,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10153,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,60401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11050,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007144,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20083,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11007,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10152,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,21581,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20089,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,21423,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50101,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,11001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,10199,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50721,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11051,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10150,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,70105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001955,20021,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,20031,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20301,013,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11007,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50701,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50722,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10007,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007312,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50705,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007394,50101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50710,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11150,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20019,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50712,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50702,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50723,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50710,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50001,000,000000,000000,000000,USD WESCO US,,
